100 10 200 10 500
226 706 286 197 748 189 153 65 330 280 263 491 245 115 707 284 325 732 744 367 692 441 678 834 666 540 543 543 649 289 678 575 869 758 280 818 50 829 244 535 383 394 401 894 684 91 855 724 129 263 56 740 201 234 361 424 702 817 403 696 410 771 679 275 473 458 417 896 130 409 190 772 763 772 781 297 606 695 276 274 755 823 449 627 203 489 314 294 784 843 406 652 866 443 455 124 289 333 591 188
5098 7
0 7656
1 8425
2 5223
3 6206
4 7050
5 3605
6 5775
5507 2
0 5677
1 4357
8288 1
0 6368
6665 9
0 3369
1 6864
2 2415
3 4199
4 8490
5 1318
6 9384
7 3208
8 1596
1361 5
0 9214
1 3871
2 9181
3 2688
4 8401
8594 5
0 3238
1 3209
2 9439
3 7486
4 4165
3821 1
0 4851
5944 5
0 2266
1 2950
2 7592
3 8633
4 2832
6497 8
0 7518
1 5624
2 9064
3 4657
4 7327
5 4262
6 6209
7 1882
9009 9
0 9029
1 4779
2 5381
3 6406
4 7617
5 6688
6 1599
7 2360
8 4130
53 0 39318
4 3 39047
30 3 29622
68 9 45586
84 4 13234
44 2 20715
38 9 39798
79 8 17334
37 6 40947
88 2 22018
62 0 38914
14 7 32476
29 9 5566
74 3 39988
28 0 3934
24 3 27605
28 3 18816
11 8 30176
26 1 32031
17 0 47784
42 5 48390
83 2 1684
10 4 19778
68 3 37746
1 2 640
91 8 5680
12 1 5047
81 8 46970
8 7 17005
35 5 33339
88 6 47861
97 7 15326
7 6 3713
50 2 33564
38 5 6993
60 0 2329
40 6 32029
36 2 18839
29 9 25879
22 3 12425
78 3 20197
14 0 2212
44 5 21063
67 7 36719
63 8 1355
94 5 27445
27 5 6536
34 3 5446
28 3 16682
7 4 24915
11 0 27762
23 8 2319
54 6 18586
8 9 43646
23 4 34266
86 3 24961
29 5 47494
16 4 32287
56 5 14610
28 5 47899
92 9 39462
54 1 13258
86 7 46168
68 9 28088
20 1 1563
4 8 9948
96 3 42219
96 1 29698
19 7 1265
90 9 12131
44 9 23675
54 1 9688
38 0 35169
73 8 32659
19 5 46101
87 8 961
30 2 29657
26 1 10223
94 0 18908
71 2 40935
78 1 29195
47 6 9412
40 0 33857
94 0 25765
50 3 38480
88 1 1985
76 6 11833
11 0 41497
72 8 10743
81 4 38747
40 6 38948
88 1 17994
52 3 5950
50 4 37974
0 3 32519
11 1 38910
84 4 6018
14 2 46858
2 0 6910
77 2 20311
85 0 12397
73 5 20371
48 9 18765
51 3 45992
78 3 47372
29 0 45225
42 3 25904
52 0 3146
95 9 26403
10 3 41608
89 7 33742
50 3 14488
55 2 43400
28 8 38544
5 5 33593
25 7 36331
75 8 12755
26 5 31530
41 6 49333
4 0 44748
48 7 12366
19 1 5890
49 3 24159
81 1 40935
1 1 22171
89 5 39980
89 8 28727
1 2 15007
59 8 39732
95 6 21917
87 4 11095
9 1 46678
75 0 14961
36 5 1213
7 9 29867
87 4 30027
33 6 45235
84 0 18173
13 3 3411
85 3 41481
83 7 9643
39 0 35954
25 4 181
41 1 32770
91 6 8093
25 6 46030
81 3 35190
41 7 44893
97 8 2633
70 8 25030
80 4 15381
62 7 9570
61 6 38555
90 1 22644
91 6 48688
72 0 18387
55 4 43237
54 6 18591
2 6 35422
34 9 38113
96 1 3392
39 2 41213
76 2 22756
71 0 48140
48 1 22974
76 4 14542
11 4 9521
80 8 18187
71 7 25824
74 8 47951
51 2 21436
53 3 36144
81 3 11266
15 7 40283
21 1 47661
98 5 23433
26 5 41926
46 0 9538
77 0 13630
19 0 47364
25 7 46880
18 2 31373
84 0 13379
65 0 27598
69 0 4357
68 6 44422
29 3 43914
41 1 23112
45 6 37515
51 4 5428
48 4 23666
17 0 42827
29 0 15827
38 8 46794
71 3 33255
36 8 29859
35 4 24616
96 5 24119
73 9 14490
29 8 11769
