Year	Density(pop/km^2)	Men	Women	Population
2017	25	102855016	106433262	209288278
2016	24	102083113	105569752	206102000
2015	24	101283707	104678401	204470000
2014	24	100455246	103757887	202783000
2013	24	99599041	102809591	201041000
2012	23	98721348	101839635	199245000
2011	23	97830532	100856156	197394000
2010	23	96931915	99864354	195488000
2009	23	96028649	98867347	193528000
2008	22	95117172	97861857	191514000
2007	22	94187803	96838834	189445000
2006	22	93226927	95785485	187322000
2005	22	92224752	94692609	185144000
2004	21	91179697	93558761	182913000
2003	21	90095059	92387090	180627000
2002	21	88972136	91178885	178288000
2001	21	87813754	89936916	175895000
2000	20	86623241	88664346	173447000
1999	20	85399151	87360092	171029000
1998	20	84144042	86026598	168606000
1997	20	82870275	84674889	166187000
1996	19	81593981	83319325	163768000
1995	19	80326481	81970131	158875000
1994	18	79073046	80632077	156431000
1993	18	77830183	79302499	153986000
1992	18	76589451	77974827	151547000
1991	18	75337893	76638684	149094000
1990	17	74065784	75286361	146593000
1989	17	72773389	73918592	142307000
1988	16	71463558	72537984	139819000
1987	16	70132512	71140976	137268000
1986	16	68776051	69723413	134653000
1985	15	67392605	68283676	131978000
1984	15	65980446	66820238	129273000
1983	15	64544469	65337852	126573000
1982	15	63098241	63849124	123885000
1981	14	61659965	62370943	121213000
1980	14	60243562	60916199	118563000
1979	14	58853469	59489157	118342626
1978	14	57488749	58088920	115577669
1977	13	56151163	56716704	112867867
1976	13	54840928	55372154	110213082
1975	13	53557580	54054520	107612100
1974	12	52303519	52765848	105069367
1973	12	51078253	51506025	102584278
1972	12	49874580	50269018	100143598
1971	11	48682483	49046478	97728961
1970	11	47494553	47832240	95326793
1969	11	46309634	46625438	92935072
1968	11	45129458	45427606	90557064
1967	10	43953252	44238126	88191378
1966	10	42780915	43056884	85837799
1965	10	41613329	41884691	83498020
1964	10	40448790	40719864	81168654
1963	9	39289565	39564454	78854019
1962	9	38145561	38427687	76573248
1961	9	37029934	37321829	74351763
1960		35952077	36255477	72207554
