Year	Density(pop/km^2)	Men	Women	Population
2017	272	32576204	33446069	66238007
2016	270	32466065	33342508	65808573
2015	268	32224529	33158027	65382556
2014	266	31947040	32928125	64875165
2013	264	31663214	32687941	64351155
2012	262	31423950	32481347	63905297
2011	261	31206267	32289036	63495303
2010	259	30951490	32071042	63022532
2009	257	30668969	31841228	62510197
2008	255	30416523	31625820	62042343
2007	253	30164349	31407298	61571647
2006	251	29894834	31178445	61073279
2005	249	29651378	30968983	60620361
2004	247	29419090	30762960	60182050
2003	245	29211268	30582491	59793759
2002	244	29049154	30452240	59501394
2001	243	28902614	30336950	59239564
2000	242	28761435	30238346	58999781
1999	241	28634462	30150784	58785246
1998	240	28518417	30061268	58579685
1997	240	28414697	29979899	58394596
1996	239	28329090	29910222	58239312
1995	238	28245423	29849164	58094587
1994	238	28156016	29787456	57943472
1993	237	28073802	29714215	57788017
1992	237	28008061	29641149	57649210
1991	236	27942925	29568669	57511594
1990	235	27863833	29474366	57338199
1989	235	27773688	29383284	57156972
1988	234	27690230	29306220	56996450
1987	233	27625242	29234961	56860203
1986	233	27570391	29173506	56743897
1985	232	27515344	29103551	56618895
1984	232	27454695	29026946	56481641
1983	231	27396027	28966475	56362502
1982	231	27367500	28935694	56303194
1981	231	27387578	28936510	56324088
1980	231	27411355	28932214	56343569
1979	231	27392202	28892661	56284863
1978	231	27351415	28857624	56209039
1977	231	27337263	28846705	56183968
1976	231	27352693	28850323	56203016
1975	231	27360711	28860209	56220920
1974	231	27354879	28875801	56230680
1973	231	27340202	28889066	56229268
1972	231	27295535	28864250	56159785
1971	230	27213366	28798979	56012345
1970	229	27079400	28700700	55780100
1969	228	26949600	28596800	55546400
1968	227	26846000	28491100	55337100
1967	226	26728800	28357500	55086300
1966	225	26592300	28208600	54800900
1965	224	26439500	28056700	54496100
1964	222	26300000	27900000	54200000
1963	221	26100000	27700000	53800000
1962	220	25900000	27500000	53500000
1961	218	25700000	27400000	53000000
1960		25400000	27200000	52600000
1959		25200000	27000000	52200000
