Year	Density(pop/km^2)	Men	Women	Population
2017	201	29509824	31041592	60483973
2016	201	29445741	31143704	60589445
2015	201	29456321	31209230	60665551
2014	202	29501590	31294022	60795612
2013	202	29484564	31298104	60782668
2012	198	28889597	30795630	59685227
2011	197	28726599	30667608	59394207
2010	197	28715256	30649434	59364690
2009	196	28649385	30540758	59190143
2008	196	28570007	30430579	59000586
2007	195	28411242	30241633	58652875
2006	193	28212234	30011510	58223744
2005	193	28138577	29925637	58064214
2004	192	28044210	29830543	57874753
2003	191	27845601	29650299	57495900
2002	190	27658649	29471857	57130506
2001	189	27585050	29402457	56987507
2000	189	27576326	29384366	56960692
1999	189	27562988	29360536	56923524
1998	189	27563748	29345361	56909109
1997	189	27571578	29332801	56904379
1996	189	27566774	29309590	56876364
1995	189	27560294	29283903	56844197
1994	189	27568963	29275445	56844408
1993	189	27576391	29266001	56842392
1992	189	27572056	29249194	56821250
1991	188	27553963	29218960	56772923
1990	188	27547371	29196748	56744119
1989	188	27527829	29166531	56694360
1988	188	27511139	29138062	56649201
1987	188	27495567	29113808	56609375
1986	188	27493442	29101045	56594487
1985	188	27500167	29097656	56597823
1984	188	27501075	29087244	56588319
1983	188	27496083	29069034	56565117
1982	188	27500193	29062838	56563031
1981	188	27487428	29036636	56524064
1980	187	27485213	28994072	56479285
1979	187	27459187	28929293	56388480
1978	187	27409332	28837685	56247017
1977	186	27337858	28725411	56063269
1976	185	27249308	28598245	55847553
1975	184	27137474	28451492	55588966
1974	183	27006597	28286439	55293036
1973	182	26840113	28088587	54928700
1972	181	26677131	27896980	54574111
1971	180	26499055	27689524	54188579
1970	179	26390700	27567700	53958400
1969	178	26260000	27425300	53685300
1968	177	26122300	27268300	53390600
1967	176	25974500	27106400	53080900
1966	175	25803300	26916800	52720100
1965	174	25607700	26710200	52317900
1964	172	25408000	26498800	51906800
1963	171	25186700	26257200	51443900
1962	169	25000600	26059500	51060100
1961	168	24829100	25869700	50698800
1960		24668700	25705200	50373900
1959		24498900	25526600	50025500
