Year	Density(pop/km^2)	Men	Women	Population
Diciembre 2017	92	22882286	23777015	46659302
Junio 2017	92	22830208	23703839	46534047
Diciembre 2016	92	22834227	23692812	46527039
Junio 2016	92	22805230	23644644	46449874
Diciembre 2015	92	22807464	23632635	46440099
Junio 2015	92	22800864	23609285	46410149
Diciembre 2014	92	22826546	23623019	46449565
Junio 2014	92	22840091	23615032	46455123
Diciembre 2013	92	22877461	23634738	46512199
Junio 2013	92	22933750	23659486	46593236
Diciembre 2012	92	23017758	23710132	46727890
Junio 2012	92	23055722	23710682	46766403
Diciembre 2011	93	23099009	23719207	46818216
Junio 2011	92	23073274	23662983	46736257
Diciembre 2010	92	23049476	23617698	46667175
Junio 2010	92	23008580	23553902	46562483
Diciembre 2009	92	22982272	23504349	46486621
Junio 2009	92	22934502	23433048	46367550
Diciembre 2008	91	22880534	23358736	46239271
Junio 2008	91	22756864	23226305	45983169
Diciembre 2007	90	22591484	23077454	45668938
Junio 2007	90	22362074	22873931	45236004
Diciembre 2006	89	22118970	22665689	44784659
Junio 2006	88	21900709	22459813	44360521
Diciembre 2005	87	21719317	22290652	44009969
Junio 2005	86	21541965	22120648	43662613
Diciembre 2004	86	21335283	21961052	43296335
Junio 2004	85	21093052	21766121	42859172
Diciembre 2003	84	20924581	21622873	42547454
Junio 2003	84	20737999	21458232	42196231
Diciembre 2002	83	20542468	21285368	41827836
Junio 2002	82	20326854	21096666	41423520
Diciembre 2001	81	20115522	20919749	41035271
Junio 2001	81	19973044	20793005	40766049
Diciembre 2000	81	19923892	20741653	40665545
Junio 2000	80	19868636	20685751	40554387
Diciembre 1999	80	19826339	20643843	40470182
Junio 1999	80	19777139	20592527	40369667
Diciembre 1998	80	19744257	20559311	40303568
Junio 1998	79	19699794	20514272	40214066
Diciembre 1997	79	19664565	20478884	40143449
Junio 1997	79	19618845	20431129	40049974
Diciembre 1996	79	19579778	20391551	39971329
Junio 1996	79	19537708	20346538	39884246
Diciembre 1995	79	19500458	20307916	39808374
Junio 1995	78	19456911	20261984	39718895
Diciembre 1994	78	19417999	20221727	39639726
Junio 1994	78	19372716	20174637	39547353
Diciembre 1993	78	19328299	20130190	39458489
Junio 1993	78	19277470	20078612	39356082
Diciembre 1992	78	19231389	20032646	39264034
Junio 1992	77	19174451	19973488	39147940
Diciembre 1991	77	19126029	19925307	39051336
Junio 1991	77	19071305	19870317	38941622
Diciembre 1990	77	19042818	19838598	38881416
Junio 1990	77	19038475	19822352	38860827
Diciembre 1989	77	19039785	19813442	38853227
Junio 1989	77	19029472	19791905	38821377
Diciembre 1988	77	19023679	19778621	38802300
Junio 1988	77	19008691	19755616	38764307
Diciembre 1987	77	18995710	19735868	38731578
Junio 1987	76	18974705	19707616	38682322
Diciembre 1986	76	18954956	19683096	38638052
Junio 1986	76	18925182	19646759	38571941
Diciembre 1985	76	18906124	19625072	38531195
Junio 1985	76	18876875	19590150	38467025
Diciembre 1984	76	18849258	19558571	38407829
Junio 1984	76	18810578	19514666	38325244
Diciembre 1983	76	18775089	19477809	38252899
Junio 1983	75	18730311	19429953	38160263
Diciembre 1982	75	18695393	19394759	38090151
Junio 1982	75	18644480	19342628	37987108
Diciembre 1981	75	18591423	19290449	37881873
Junio 1981	75	18532874	19231584	37764458
Diciembre 1980	74	18467449	19167940	37635389
Junio 1980	74	18396289	19096782	37493072
Diciembre 1979	74	18323513	19023427	37346940
Junio 1979	74	18247247	18947068	37194315
Diciembre 1978	73	18167281	18868438	37035719
Junio 1978	73	18082153	18785947	36868100
Diciembre 1977	73	17993218	18700859	36694077
Junio 1977	72	17899596	18607215	36506811
Diciembre 1976	72	17807322	18521877	36329199
Junio 1976	71	17705447	18422078	36127525
Diciembre 1975	71	17612561	18333864	35946425
Junio 1975	71	17512929	18237105	35750033
Diciembre 1974	70	17419371	18150004	35569375
Junio 1974	70	17314892	18048997	35363890
Diciembre 1973	70	17220063	17957230	35177294
Junio 1973	69	17119603	17860714	34980317
Diciembre 1972	69	17027972	17772628	34800600
Junio 1972	68	16923533	17672353	34595886
Diciembre 1971	68	16827942	17580397	34408338
Junio 1971	68	16730904	17485953	34216856
Diciembre 1970	67	16641744	17398898	34040642
Diciembre 1969	66	16414300	17173310	33587610
Diciembre 1968	66	16265389	17029108	33294497
Diciembre 1967	65	16083110	16848661	32931771
Diciembre 1966	64	15874608	16559515	32434123
Diciembre 1965	64	15683942	16448322	32132264
