Year	Density(pop/km^2)	Men	Women	Population
2017	92	22882286	23777015	46659302
2016	92	22834227	23692812	46527039
2015	92	22807464	23632635	46440099
2014	92	22826546	23623019	46449565
2013	92	22877461	23634738	46512199
2012	92	23017758	23710132	46727890
2011	93	23099009	23719207	46818216
2010	92	23049476	23617698	46667175
2009	92	22982272	23504349	46486621
2008	91	22880534	23358736	46239271
2007	90	22591484	23077454	45668938
2006	89	22118970	22665689	44784659
2005	87	21719317	22290652	44009969
2004	86	21335283	21961052	43296335
2003	84	20924581	21622873	42547454
2002	83	20542468	21285368	41827836
2001	81	20115522	20919749	41035271
2000	81	19923892	20741653	40665545
1999	80	19826339	20643843	40470182
1998	80	19744257	20559311	40303568
1997	79	19664565	20478884	40143449
1996	79	19579778	20391551	39971329
1995	79	19500458	20307916	39808374
1994	78	19417999	20221727	39639726
1993	78	19328299	20130190	39458489
1992	78	19231389	20032646	39264034
1991	77	19126029	19925307	39051336
1990	77	19042818	19838598	38881416
1989	77	19039785	19813442	38853227
1988	77	19023679	19778621	38802300
1987	77	18995710	19735868	38731578
1986	76	18954956	19683096	38638052
1985	76	18906124	19625072	38531195
1984	76	18849258	19558571	38407829
1983	76	18775089	19477809	38252899
1982	75	18695393	19394759	38090151
1981	75	18591423	19290449	37881873
1980	74	18467449	19167940	37635389
1979	74	18323513	19023427	37346940
1978	73	18167281	18868438	37035719
1977	73	17993218	18700859	36694077
1976	72	17807322	18521877	36329199
1975	71	17612561	18333864	35946425
1974	70	17419371	18150004	35569375
1973	70	17220063	17957230	35177294
1972	69	17027972	17772628	34800600
1971	68	16827942	17580397	34408338
1970	67	16641744	17398898	34040642
1969	66	16414300	17173310	33587610
1968	66	16265389	17029108	33294497
1967	65	16083110	16848661	32931771
1966	64	15874608	16559515	32434123
1965	64	15683942	16448322	32132264
