Anio	Poblacion Estimada

1960	139240829.0758208
1961	121019983.09264232
1962	75751012.21507497
1963	139052514.86810723
1964	138826783.90786144
1965	138911556.5422442
1966	134908951.0084918
1967	138739462.55184478
1968	139173243.45378333
1969	136961100.13451895
1970	138906226.37310377
1971	139838951.12466633
1972	137811583.7628366
1973	103284987.92615537
1974	140135927.61580455
1975	140330997.14650995
1976	107151178.18943019
1977	114967492.64181313
1978	140711095.0708756
1979	140097607.0806688
1980	141051112.11456385
1981	140998535.00345382
1982	140094323.67349437
1983	141293153.32489765
1984	141557580.34432048
1985	141646735.38026676
1986	141027570.62010327
1987	142038544.00664663
1988	141781664.7153016
1989	142020020.98011404
1990	142608550.4637654
1991	143584973.5325233
1992	141385806.4230871
1993	142923449.9365989
1994	168507729.47452876
1995	149897822.28764087
1996	143431674.5171415
1997	143514087.6874326
1998	163653824.55507138
1999	143131920.42941982
2000	143903113.16342282
2001	142553534.04602408
2002	145132192.85176244
2003	144321222.3623358
2004	144083963.08975226
2005	148269873.45927596
2006	144797367.35763097
2007	144871849.28283367
2008	145083926.90990493
2009	145196162.6362131
2010	143312462.83912194
2011	145156473.47359604
2012	145242362.72376424
2013	144712691.03946662
2014	146747597.70743927
2015	146184387.443467
2016	170349992.2116309
2017	148820138.30974355
